cycle,rover_id,target_x,target_y,target_z,battery,wear_index
1,rover_4,15.280898876404494,12.808988764044944,565.0,94.89233576642336,0.026530187525364884
2,rover_4,18.426966292134832,13.03370786516854,551.0,90.01459854014598,0.04973874553817935
3,rover_3,16.629213483146067,2.696629213483146,592.0,94.44890510948905,0.016282029037137043
4,rover_5,6.51685393258427,6.966292134831461,562.0,94.94160583941606,0.010529067961884561
5,rover_5,3.8202247191011236,8.089887640449438,560.0,89.91605839416059,0.030523791891343362
6,rover_2,6.966292134831461,15.730337078651685,558.0,95.00729927007299,0.00343993057654878
7,rover_5,1.5730337078651686,10.112359550561798,580.0,84.56204379562044,0.04258440591698877
8,rover_5,1.1235955056179776,7.191011235955056,601.0,78.86313868613139,0.05215902038620434
9,rover_3,13.932584269662922,2.0224719101123596,570.0,89.25912408759123,0.03385952022725912
10,rover_3,11.235955056179776,1.348314606741573,581.0,83.88868613138685,0.055432313549741215
11,rover_4,18.426966292134832,10.112359550561798,550.0,85.15328467153284,0.05264127691197801
12,rover_5,0.6741573033707865,4.269662921348314,586.0,73.41058394160585,0.07580123453592977
13,rover_2,4.719101123595506,17.528089887640448,574.0,89.75182481751824,0.011809487057222403
14,rover_3,14.382022471910112,1.1235955056179776,583.0,78.485401459854,0.08248824475247277
15,rover_3,17.528089887640448,0.898876404494382,602.0,72.77007299270072,0.10247518359704257
16,rover_2,2.247191011235955,19.10112359550562,594.0,84.16788321167883,0.02699485564771473
17,rover_5,3.146067415730337,2.696629213483146,589.0,67.9087591240876,0.09607369077581374
18,rover_5,5.617977528089888,0.898876404494382,604.0,62.16058394160584,0.13969687431491468
19,rover_4,19.325842696629213,7.415730337078652,583.0,79.75,0.06704220053865245
20,rover_4,19.55056179775281,10.561797752808989,556.0,74.79014598540147,0.0882722246421652
